Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
RGB_rgb_HSV_R/Gratio,AdaBoost SVM,0.4255952380952381,0.5261495864273601,0.4255952380952381,0.3579230769908336,0.3602771362586605,0.4956337381112021,0.3602771362586605,0.2878523162288273,"R, G, B, r, g, b, R/Gratio, H, S, V",20.01,Gabungan Fitur,10
RGB_rgb_HSV_CLab_R/Gratio,AdaBoost SVM,0.435515873015873,0.5367266550091674,0.435515873015873,0.3690866681389229,0.3579676674364896,0.489965265093586,0.3579676674364896,0.2838934604717891,"R, G, B, r, g, b, R/Gratio, H, S, V, cL, ca, cb",21.57,Gabungan Fitur,13
RGB_rgb_CLab_R/Gratio,AdaBoost SVM,0.4186507936507936,0.5354646536977364,0.4186507936507936,0.3486586548579884,0.3556581986143187,0.4835142034979013,0.3556581986143187,0.2798771490890429,"R, G, B, r, g, b, R/Gratio, cL, ca, cb",21.22,Gabungan Fitur,10
CLab_R/Gratio,AdaBoost SVM,0.4136904761904761,0.6006641362171957,0.4136904761904761,0.3457247094168378,0.3464203233256351,0.6124947164009041,0.3464203233256351,0.2796382720893628,"R/Gratio, cL, ca, cb",17.42,Gabungan Fitur,4
RGB_rgb_HSV_R/Gratio_G/Bratio,AdaBoost SVM,0.4136904761904761,0.6118973604828281,0.4136904761904761,0.3497443696132702,0.3394919168591224,0.5564239698553544,0.3394919168591224,0.2678647802677238,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V",20.35,Gabungan Fitur,11
rgb_HSV_CLab_G/Bratio,AdaBoost SVM,0.3621031746031746,0.5403707544445223,0.3621031746031746,0.2607950746298715,0.3325635103926097,0.6182238085240395,0.3325635103926097,0.2418300325226149,"r, g, b, G/Bratio, H, S, V, cL, ca, cb",18.47,Gabungan Fitur,10
rgb_CLab_R/Gratio,AdaBoost SVM,0.3938492063492063,0.4924571289778662,0.3938492063492063,0.3145937323569832,0.3325635103926097,0.4238634688489732,0.3325635103926097,0.2499326408398917,"r, g, b, R/Gratio, cL, ca, cb",18.52,Gabungan Fitur,7
RGB_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.4037698412698413,0.5921705313348127,0.4037698412698413,0.3349958713300988,0.3302540415704388,0.5414499272497169,0.3302540415704388,0.2559655857619073,"R, G, B, R/Gratio, G/Bratio, cL, ca, cb",22.63,Gabungan Fitur,8
RGB_rgb_HSV_CLab_G/Bratio,AdaBoost SVM,0.3869047619047619,0.5156945004932293,0.3869047619047619,0.3062060714805203,0.325635103926097,0.4715776438732615,0.325635103926097,0.2399298964723648,"R, G, B, r, g, b, G/Bratio, H, S, V, cL, ca, cb",21.45,Gabungan Fitur,13
rgb_HSV_CLab_R/Gratio,AdaBoost SVM,0.376984126984127,0.5251758535257863,0.376984126984127,0.2912007111367259,0.3233256351039261,0.5029888810852692,0.3233256351039261,0.2366609859042764,"r, g, b, R/Gratio, H, S, V, cL, ca, cb",17.9,Gabungan Fitur,10
RGB_HSV_CLab_G/Bratio,AdaBoost SVM,0.3720238095238095,0.4774879611297464,0.3720238095238095,0.2844002650894656,0.3210161662817552,0.4101698724170648,0.3210161662817552,0.235808577393712,"R, G, B, G/Bratio, H, S, V, cL, ca, cb",19.81,Gabungan Fitur,10
RGB_rgb_CLab_G/Bratio,AdaBoost SVM,0.3759920634920635,0.5122716326191662,0.3759920634920635,0.28933201803234,0.3187066974595843,0.4740248204451438,0.3187066974595843,0.2320849451705863,"R, G, B, r, g, b, G/Bratio, cL, ca, cb",20.25,Gabungan Fitur,10
RGB_rgb_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.3898809523809524,0.5210893693934364,0.3898809523809524,0.310413602912219,0.3187066974595843,0.4724073463103486,0.3187066974595843,0.2329262494010059,"R, G, B, r, g, b, R/Gratio, G/Bratio, cL, ca, cb",20.99,Gabungan Fitur,11
HSV_CLab,AdaBoost SVM,0.3819444444444444,0.4970057261168779,0.3819444444444444,0.2980653936709781,0.3187066974595843,0.4389107005388761,0.3187066974595843,0.2336060889284699,"H, S, V, cL, ca, cb",18.16,Gabungan Fitur,6
RGB_HSV_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.3740079365079365,0.5808596533235447,0.3740079365079365,0.2936479819984308,0.3094688221709007,0.5076801692937102,0.3094688221709007,0.2242144874517714,"R, G, B, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",22.33,Gabungan Fitur,11
Full,AdaBoost SVM,0.3799603174603174,0.5215070035730791,0.3799603174603174,0.2960789926275168,0.3094688221709007,0.4653110748994736,0.3094688221709007,0.2193115657421554,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",21.42,Gabungan Fitur,14
RGB_HSV_G/Bratio,AdaBoost SVM,0.3601190476190476,0.450492218244284,0.3601190476190476,0.2548008322402283,0.2886836027713625,0.3459560372474392,0.2886836027713625,0.1806810962559286,"R, G, B, G/Bratio, H, S, V",19.41,Gabungan Fitur,7
rgb_HSV_G/Bratio,AdaBoost SVM,0.3571428571428571,0.3274773022437786,0.3571428571428571,0.2468442276749883,0.2886836027713625,0.2956222735437516,0.2886836027713625,0.1796672078585118,"r, g, b, G/Bratio, H, S, V",19.61,Gabungan Fitur,7
R/Gratio,AdaBoost SVM,0.308531746031746,0.1687816896469428,0.308531746031746,0.1999636019414655,0.2863741339491917,0.1733719994401287,0.2863741339491917,0.1873493550631826,R/Gratio,17.56,Gabungan Fitur,1
rgb_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.3541666666666667,0.4524896979121773,0.3541666666666667,0.2502824904453977,0.2817551963048499,0.4075513928092835,0.2817551963048499,0.1736648048097466,"r, g, b, R/Gratio, G/Bratio, cL, ca, cb",17.46,Gabungan Fitur,8
R/Gratio_G/Bratio,AdaBoost SVM,0.2797619047619047,0.2823678201654893,0.2797619047619047,0.1713811200689584,0.2494226327944572,0.4048814595097436,0.2494226327944572,0.1587967549489426,"R/Gratio, G/Bratio",18.65,Gabungan Fitur,2
