Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
RGB_rgb_CLab,AdaBoost SVM,0.4292265492571239,0.5459036555858405,0.4292265492571239,0.3521864323394059,0.4028613861386138,0.4751497679531205,0.4028613861386138,0.316817233495237,"R, G, B, r, g, b, cL, ca, cb",157.92,Gabungan Fitur,9
ADABOOST SVM_MUTUAL_INFO_n_features-9,AdaBoost SVM,0.42306157686908963,0.5170133629435172,0.42306157686908963,0.3400715678215788,0.4028217821782178,0.48256910171828726,0.4028217821782178,0.3193459963144081,"r, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",157.21,Algoritma,9
rgb_HSV_CLab,AdaBoost SVM,0.4280142455400725,0.4924524362420911,0.4280142455400725,0.349475135632258,0.4018811881188119,0.4301655806780814,0.4018811881188119,0.3176670230961081,"r, g, b, H, S, V, cL, ca, cb",155.21,Gabungan Fitur,9
RGB_CLab_R/Gratio,AdaBoost SVM,0.4259165132668574,0.558547104140253,0.4259165132668574,0.3485128123311273,0.4018712871287128,0.5162323185633896,0.4018712871287128,0.3216738612772682,"R, G, B, R/Gratio, cL, ca, cb",150.88,Gabungan Fitur,7
RGB_HSV_CLab_G/Bratio,AdaBoost SVM,0.4195303051644332,0.5196760916381101,0.4195303051644332,0.3403113587733099,0.4018613861386139,0.4565941871605494,0.4018613861386139,0.3180902141812106,"R, G, B, G/Bratio, H, S, V, cL, ca, cb",197.7,Gabungan Fitur,10
HSV_CLab_G/Bratio,AdaBoost SVM,0.4247070023167824,0.5754397115173243,0.4247070023167824,0.3521352942122058,0.4018514851485149,0.4829976416115275,0.4018514851485149,0.318562007231606,"G/Bratio, H, S, V, cL, ca, cb",201.23,Gabungan Fitur,7
RGB_rgb_HSV_R/Gratio,AdaBoost SVM,0.4317609245758637,0.5237444757088039,0.4317609245758637,0.3577436297373991,0.4018415841584158,0.4806990403831149,0.4018415841584158,0.3227844336249912,"R, G, B, r, g, b, R/Gratio, H, S, V",234.0,Gabungan Fitur,10
RGB_HSV_R/Gratio_G/Bratio,AdaBoost SVM,0.424365556197757,0.5028056080837489,0.424365556197757,0.3422836769268773,0.3989405940594059,0.4521137662478584,0.3989405940594059,0.3114715791294223,"R, G, B, R/Gratio, G/Bratio, H, S, V",172.75,Gabungan Fitur,8
RGB_HSV_CLab_R/Gratio,AdaBoost SVM,0.4250339989023211,0.516477789176237,0.4250339989023211,0.3479166024357646,0.3979405940594059,0.4988054968182812,0.3979405940594059,0.3151424345300495,"R, G, B, R/Gratio, H, S, V, cL, ca, cb",207.51,Gabungan Fitur,10
HSV_G/Bratio,AdaBoost SVM,0.4021093890397252,0.5742736504486968,0.4021093890397252,0.3251846452846406,0.3978910891089109,0.5470011958103271,0.3978910891089109,0.3187144686899653,"G/Bratio, H, S, V",143.07,Gabungan Fitur,4
rgb_HSV_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.4096173180694452,0.4976816052761456,0.4096173180694452,0.3261037197110728,0.3978019801980198,0.4498087436458233,0.3978019801980198,0.3098048817568321,"r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",155.83,Gabungan Fitur,11
RGB_rgb_R/Gratio_G/Bratio,AdaBoost SVM,0.4293346171966448,0.5043704390773279,0.4293346171966448,0.3486177801211776,0.3969405940594059,0.4521544247829546,0.3969405940594059,0.3074960310538721,"R, G, B, r, g, b, R/Gratio, G/Bratio",168.61,Gabungan Fitur,8
ADABOOST SVM_MUTUAL_INFO_n_features-12,AdaBoost SVM,0.4261413917207816,0.5374339010606553,0.4261413917207816,0.3491320212146263,0.39691089108910893,0.4630519380797667,0.39691089108910893,0.3116859941459364,"R, G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",169.71,Algoritma,12
rgb_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.4212886555376927,0.4803774399919228,0.4212886555376927,0.337219937432573,0.3969009900990099,0.44074899236214,0.3969009900990099,0.3063042994682846,"r, g, b, R/Gratio, G/Bratio, cL, ca, cb",201.2,Gabungan Fitur,8
G/Bratio,AdaBoost SVM,0.3977089596821588,0.3209965833831402,0.3977089596821588,0.2979222385681194,0.3968613861386139,0.2872752770571733,0.3968613861386139,0.2971225772900289,G/Bratio,165.49,Gabungan Fitur,1
HSV_CLab_R/Gratio,AdaBoost SVM,0.43043193176906,0.5239445450083166,0.43043193176906,0.3506343735131474,0.395980198019802,0.494502989708535,0.395980198019802,0.3089741018270874,"R/Gratio, H, S, V, cL, ca, cb",181.11,Gabungan Fitur,7
ADABOOST SVM_MUTUAL_INFO_n_features-5,AdaBoost SVM,0.42316600206907606,0.5623437593462097,0.42316600206907606,0.344318996425746,0.39593069306930695,0.49017580251545817,0.39593069306930695,0.30892707063799946,"R/Gratio, G/Bratio, H, S, cL",139.52,Algoritma,5
ADABOOST SVM_MUTUAL_INFO_n_features-11,AdaBoost SVM,0.4206336909694059,0.4937468962056677,0.4206336909694059,0.330813723819104,0.3958910891089109,0.46819696461193977,0.3958910891089109,0.3028212348332894,"G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",173.16,Algoritma,11
rgb_HSV_R/Gratio_G/Bratio,AdaBoost SVM,0.4073941541315952,0.5224281537382874,0.4073941541315952,0.3222925304208619,0.3939702970297029,0.4878862496850393,0.3939702970297029,0.3036195397699037,"r, g, b, R/Gratio, G/Bratio, H, S, V",168.44,Gabungan Fitur,8
ADABOOST SVM_MUTUAL_INFO_n_features-8,AdaBoost SVM,0.4045376392133626,0.5057644827297151,0.4045376392133626,0.32100738947863644,0.39393069306930695,0.47163463537370787,0.39393069306930695,0.30590914783984235,"g, R/Gratio, G/Bratio, H, S, cL, ca, cb",159.13,Algoritma,8
ADABOOST SVM_PCA_n_components-4,AdaBoost SVM,0.4139129579530718,0.5418349832029994,0.4139129579530718,0.33682708289032426,0.3938613861386139,0.5137758382474897,0.3938613861386139,0.31023927751636227,(tidak tersedia),166.28,Algoritma,1
ADABOOST SVM_PCA_n_components-3,AdaBoost SVM,0.3993579064447348,0.5115521014362135,0.3993579064447348,0.3157998612647154,0.39192079207920794,0.488257457308164,0.39192079207920794,0.3032644172909776,(tidak tersedia),149.37,Algoritma,1
ADABOOST SVM_PCA_n_components-8,AdaBoost SVM,0.399250688477772,0.5018280973862731,0.399250688477772,0.3169530063028592,0.3919009900990099,0.48859301919730874,0.3919009900990099,0.30370922204591355,(tidak tersedia),159.77,Algoritma,1
CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.4199686481550738,0.4956905346970428,0.4199686481550738,0.3392962786286549,0.390960396039604,0.4455086230612854,0.390960396039604,0.3025029890700954,"R/Gratio, G/Bratio, cL, ca, cb",196.04,Gabungan Fitur,5
RGB_rgb_HSV_G/Bratio,AdaBoost SVM,0.4220617662915454,0.5374479411425469,0.4220617662915454,0.345370460134567,0.3909207920792079,0.4650889419950691,0.3909207920792079,0.3044676882904306,"R, G, B, r, g, b, G/Bratio, H, S, V",212.8,Gabungan Fitur,10
ADABOOST SVM_MUTUAL_INFO_n_features-6,AdaBoost SVM,0.4154561438444987,0.5262627609190765,0.4154561438444987,0.33709604576919067,0.3909108910891089,0.4836414145768441,0.3909108910891089,0.30503087668615925,"R/Gratio, G/Bratio, H, cL, ca, cb",159.85,Algoritma,6
