Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
ANN_PCA_n_components-9,ANN,0.8024679560345623,0.8104529761678622,0.8024679560345623,0.8018045971394392,0.7212376237623762,0.732705313095271,0.7212376237623762,0.7191783004997825,(tidak tersedia),26.12,Algoritma,1
Full,ANN,0.796957341091559,0.8068583913719924,0.796957341091559,0.7964949122508923,0.7212277227722772,0.7337272289917994,0.7212277227722772,0.7193526643345891,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",24.34,Gabungan Fitur,14
RGB_rgb_CLab_R/Gratio,ANN,0.7897914653041201,0.8004286430647973,0.7897914653041201,0.789499788280041,0.7212079207920792,0.7335964142051697,0.7212079207920792,0.7201327554202652,"R, G, B, r, g, b, R/Gratio, cL, ca, cb",20.33,Gabungan Fitur,10
ANN_MUTUAL_INFO_n_features-6,ANN,0.7964081373944213,0.808143596571872,0.7964081373944213,0.7958163493289724,0.7202574257425743,0.7314122160699847,0.7202574257425743,0.7182044291794777,"R/Gratio, G/Bratio, H, S, cL, ca",31.96,Algoritma,6
ANN_MUTUAL_INFO_n_features-12,ANN,0.8032404596651593,0.813329255767016,0.8032404596651593,0.8028189575395057,0.7202475247524752,0.7295998810543092,0.7202475247524752,0.7182643376944318,"R, G, r, g, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",25.85,Algoritma,12
ANN_PCA_n_components-3,ANN,0.7948620373113668,0.8051877652931765,0.7948620373113668,0.7946623130472473,0.7202376237623762,0.734066294764837,0.7202376237623762,0.7182729327837196,(tidak tersedia),28.41,Algoritma,1
RGB_HSV_CLab_R/Gratio,ANN,0.8018075273569739,0.8114785625534567,0.8018075273569739,0.8016529236461863,0.7202277227722773,0.732518318195472,0.7202277227722773,0.7185027863085038,"R, G, B, R/Gratio, H, S, V, cL, ca, cb",23.45,Gabungan Fitur,10
rgb_HSV_CLab_R/Gratio,ANN,0.8018075273569739,0.8114785625534567,0.8018075273569739,0.8016529236461863,0.7202277227722773,0.732518318195472,0.7202277227722773,0.7185027863085038,"r, g, b, R/Gratio, H, S, V, cL, ca, cb",23.57,Gabungan Fitur,10
ANN_MUTUAL_INFO_n_features-10,ANN,0.8028009024280074,0.8114856995846385,0.8028009024280074,0.8023591352654551,0.7202277227722772,0.7288238089098227,0.7202277227722772,0.7183238371741436,"R, G, g, R/Gratio, G/Bratio, H, S, cL, ca, cb",28.69,Algoritma,10
RGB_rgb_CLab_G/Bratio,ANN,0.7906739796686564,0.8012057088609111,0.7906739796686564,0.79044394444771,0.7202178217821782,0.731880412498713,0.7202178217821782,0.717790994749423,"R, G, B, r, g, b, G/Bratio, cL, ca, cb",21.5,Gabungan Fitur,10
