Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Sumber,Jumlah Fitur
RGB_rgb_HSV,AdaBoost DT,0.7251984126984127,0.7246377901328331,0.7251984126984127,0.7246499474796476,0.625866050808314,0.623851919882412,0.625866050808314,0.624383710985374,"R, G, B, r, g, b, H, S, V",Gabungan Fitur,9
RGB_rgb_CLab_G/Bratio,AdaBoost DT,0.7291666666666666,0.7418753532645751,0.7291666666666666,0.731897733225794,0.6235565819861432,0.634330240399123,0.6235565819861432,0.6261104741700726,"R, G, B, r, g, b, G/Bratio, cL, ca, cb",Gabungan Fitur,10
HSV_G/Bratio,AdaBoost DT,0.7023809523809523,0.7058599530745714,0.7023809523809523,0.7012887282180368,0.6212471131639723,0.6225950273258353,0.6212471131639723,0.6182876523873994,"G/Bratio, H, S, V",Gabungan Fitur,4
RGB_rgb_HSV_CLab_G/Bratio,AdaBoost DT,0.7103174603174603,0.7100163177305461,0.7103174603174603,0.7078395712021491,0.6212471131639723,0.6220283070330139,0.6212471131639723,0.6185533374058308,"R, G, B, r, g, b, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,13
HSV_CLab_R/Gratio,AdaBoost DT,0.7212301587301587,0.7234349400632044,0.7212301587301587,0.7209586150827673,0.6189376443418014,0.6205873219323853,0.6189376443418014,0.6186272128852318,"R/Gratio, H, S, V, cL, ca, cb",Gabungan Fitur,7
R/Gratio_G/Bratio,AdaBoost DT,0.7142857142857143,0.7210022037198961,0.7142857142857143,0.7152326715466023,0.6143187066974596,0.6161598032123152,0.6143187066974596,0.6139251170913661,"R/Gratio, G/Bratio",Gabungan Fitur,2
CLab_R/Gratio_G/Bratio,AdaBoost DT,0.7003968253968254,0.7017013170658623,0.7003968253968254,0.7000029399741687,0.6120092378752887,0.6148082622634329,0.6120092378752887,0.6111900369113503,"R/Gratio, G/Bratio, cL, ca, cb",Gabungan Fitur,5
R/Gratio,AdaBoost DT,0.6626984126984127,0.699789058847688,0.6626984126984127,0.6676573426628261,0.6096997690531177,0.6476589134910626,0.6096997690531177,0.6163871044764587,R/Gratio,Gabungan Fitur,1
HSV_R/Gratio,AdaBoost DT,0.7103174603174603,0.7109404460107931,0.7103174603174603,0.7096958957368902,0.6096997690531177,0.6136048942210277,0.6096997690531177,0.6074974765126462,"R/Gratio, H, S, V",Gabungan Fitur,4
RGB_HSV_CLab_G/Bratio,AdaBoost DT,0.6865079365079365,0.685217047017812,0.6865079365079365,0.683163878203527,0.6027713625866051,0.608410131961209,0.6027713625866051,0.6002660442600571,"R, G, B, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,10
rgb_HSV_CLab_G/Bratio,AdaBoost DT,0.6865079365079365,0.685217047017812,0.6865079365079365,0.683163878203527,0.6027713625866051,0.608410131961209,0.6027713625866051,0.6002660442600571,"r, g, b, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,10
RGB_HSV_G/Bratio,AdaBoost DT,0.7232142857142857,0.7253543669778248,0.7232142857142857,0.7236641179267991,0.5981524249422633,0.6044808715734511,0.5981524249422633,0.598521251084132,"R, G, B, G/Bratio, H, S, V",Gabungan Fitur,7
rgb_HSV_G/Bratio,AdaBoost DT,0.7232142857142857,0.7253543669778248,0.7232142857142857,0.7236641179267991,0.5981524249422633,0.6044808715734511,0.5981524249422633,0.598521251084132,"r, g, b, G/Bratio, H, S, V",Gabungan Fitur,7
RGB_rgb_HSV_G/Bratio,AdaBoost DT,0.7232142857142857,0.7253842087825312,0.7232142857142857,0.7236191600119176,0.5981524249422633,0.6044808715734511,0.5981524249422633,0.598521251084132,"R, G, B, r, g, b, G/Bratio, H, S, V",Gabungan Fitur,10
RGB_rgb_R/Gratio_G/Bratio,AdaBoost DT,0.7033730158730159,0.7059921027894088,0.7033730158730159,0.7001704873520394,0.5958429561200924,0.5972838055550371,0.5958429561200924,0.5880624516507141,"R, G, B, r, g, b, R/Gratio, G/Bratio",Gabungan Fitur,8
HSV_CLab_G/Bratio,AdaBoost DT,0.6795634920634921,0.6809386745983675,0.6795634920634921,0.6640109048460835,0.5912240184757506,0.6064110252714214,0.5912240184757506,0.5733667782853826,"G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,7
HSV,AdaBoost DT,0.6825396825396826,0.683094122781926,0.6825396825396826,0.6794598610785801,0.5912240184757506,0.5976800075200003,0.5912240184757506,0.5855462159998434,"H, S, V",Gabungan Fitur,3
RGB_HSV_R/Gratio_G/Bratio,AdaBoost DT,0.6984126984126984,0.6998426181607245,0.6984126984126984,0.6965188309589352,0.5912240184757506,0.5969921556186819,0.5912240184757506,0.585224438411616,"R, G, B, R/Gratio, G/Bratio, H, S, V",Gabungan Fitur,8
rgb_HSV_R/Gratio_G/Bratio,AdaBoost DT,0.6984126984126984,0.6998426181607245,0.6984126984126984,0.6965188309589352,0.5912240184757506,0.5969921556186819,0.5912240184757506,0.585224438411616,"r, g, b, R/Gratio, G/Bratio, H, S, V",Gabungan Fitur,8
CLab_G/Bratio,AdaBoost DT,0.6795634920634921,0.678850644310417,0.6795634920634921,0.6764730578737839,0.5912240184757506,0.5907620889105321,0.5912240184757506,0.5862093021292958,"G/Bratio, cL, ca, cb",Gabungan Fitur,4
RGB_rgb_CLab_R/Gratio,AdaBoost DT,0.6904761904761905,0.6909797203594984,0.6904761904761905,0.680876283972648,0.5889145496535797,0.5995360781306014,0.5889145496535797,0.5829181148800892,"R, G, B, r, g, b, R/Gratio, cL, ca, cb",Gabungan Fitur,10
RGB_HSV_R/Gratio,AdaBoost DT,0.685515873015873,0.6846602032946434,0.685515873015873,0.682773244532141,0.5842956120092379,0.5810061558182044,0.5842956120092379,0.5802701535468369,"R, G, B, R/Gratio, H, S, V",Gabungan Fitur,7
rgb_HSV_R/Gratio,AdaBoost DT,0.685515873015873,0.6846602032946434,0.685515873015873,0.682773244532141,0.5842956120092379,0.5810061558182044,0.5842956120092379,0.5802701535468369,"r, g, b, R/Gratio, H, S, V",Gabungan Fitur,7
ADABOOST DT_VARIANCE_threshold-0.05,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R, G, B, H, cL, ca, cb",Algoritma,7
ADABOOST DT_VARIANCE_threshold-0.01,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R, G, B, G/Bratio, H, cL, ca, cb",Algoritma,8
ADABOOST DT_VARIANCE_threshold-0.02,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R, G, B, G/Bratio, H, cL, ca, cb",Algoritma,8
ADABOOST DT_VARIANCE_threshold-0.005,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R, G, B, G/Bratio, H, S, cL, ca, cb",Algoritma,9
ADABOOST DT_VARIANCE_threshold-0.001,AdaBoost DT,0.6726190476190477,0.6896787372832338,0.6726190476190477,0.6764707784212316,0.5796766743648961,0.5870159410261206,0.5796766743648961,0.580953714924186,"R, G, B, r, b, G/Bratio, H, S, cL, ca, cb",Algoritma,11
HSV_CLab,AdaBoost DT,0.685515873015873,0.6897084343607289,0.685515873015873,0.6784168584483462,0.5773672055427251,0.5845683547873363,0.5773672055427251,0.5663836413729146,"H, S, V, cL, ca, cb",Gabungan Fitur,6
RGB_G/Bratio,AdaBoost DT,0.6676587301587301,0.6731426702747904,0.6676587301587301,0.6649335120493484,0.5750577367205543,0.584709020531047,0.5750577367205543,0.5742918970041571,"R, G, B, G/Bratio",Gabungan Fitur,4
rgb_G/Bratio,AdaBoost DT,0.6676587301587301,0.6731426702747904,0.6676587301587301,0.6649335120493484,0.5750577367205543,0.584709020531047,0.5750577367205543,0.5742918970041571,"r, g, b, G/Bratio",Gabungan Fitur,4
RGB_CLab_R/Gratio,AdaBoost DT,0.6597222222222222,0.6615643130055774,0.6597222222222222,0.6521018594690995,0.5750577367205543,0.5828735843883527,0.5750577367205543,0.5720446336054534,"R, G, B, R/Gratio, cL, ca, cb",Gabungan Fitur,7
rgb_CLab_R/Gratio,AdaBoost DT,0.6597222222222222,0.6615643130055774,0.6597222222222222,0.6521018594690995,0.5750577367205543,0.5828735843883527,0.5750577367205543,0.5720446336054534,"r, g, b, R/Gratio, cL, ca, cb",Gabungan Fitur,7
RGB_R/Gratio,AdaBoost DT,0.6041666666666666,0.6220473218414474,0.6041666666666666,0.5941247831900862,0.5727482678983834,0.586753516435665,0.5727482678983834,0.5615241930955518,"R, G, B, R/Gratio",Gabungan Fitur,4
rgb_R/Gratio,AdaBoost DT,0.6041666666666666,0.6220473218414474,0.6041666666666666,0.5941247831900862,0.5727482678983834,0.586753516435665,0.5727482678983834,0.5615241930955518,"r, g, b, R/Gratio",Gabungan Fitur,4
RGB_HSV_CLab,AdaBoost DT,0.6726190476190477,0.7117789014626289,0.6726190476190477,0.6744609486862048,0.5704387990762124,0.5913342250062888,0.5704387990762124,0.567782132469669,"R, G, B, H, S, V, cL, ca, cb",Gabungan Fitur,9
rgb_HSV_CLab,AdaBoost DT,0.6726190476190477,0.7117789014626289,0.6726190476190477,0.6744609486862048,0.5704387990762124,0.5913342250062888,0.5704387990762124,0.567782132469669,"r, g, b, H, S, V, cL, ca, cb",Gabungan Fitur,9
RGB_rgb_HSV_CLab,AdaBoost DT,0.6875,0.7134664404142002,0.6875,0.6908535807165548,0.5704387990762124,0.588704582382937,0.5704387990762124,0.5711419353246596,"R, G, B, r, g, b, H, S, V, cL, ca, cb",Gabungan Fitur,12
RGB_R/Gratio_G/Bratio,AdaBoost DT,0.683531746031746,0.6843826496957156,0.683531746031746,0.6808370182481777,0.5704387990762124,0.5668970562878154,0.5704387990762124,0.5622360492841058,"R, G, B, R/Gratio, G/Bratio",Gabungan Fitur,5
rgb_R/Gratio_G/Bratio,AdaBoost DT,0.683531746031746,0.6843826496957156,0.683531746031746,0.6808370182481777,0.5704387990762124,0.5668970562878154,0.5704387990762124,0.5622360492841058,"r, g, b, R/Gratio, G/Bratio",Gabungan Fitur,5
RGB_rgb_HSV_R/Gratio_G/Bratio,AdaBoost DT,0.6875,0.6891790911282433,0.6875,0.6805492173057035,0.5681293302540416,0.5702463604341204,0.5681293302540416,0.5498389630950974,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V",Gabungan Fitur,11
RGB_HSV,AdaBoost DT,0.6845238095238095,0.6926882464772317,0.6845238095238095,0.6829223598990803,0.5635103926096998,0.5835633116324139,0.5635103926096998,0.5625347721956547,"R, G, B, H, S, V",Gabungan Fitur,6
rgb_HSV,AdaBoost DT,0.6845238095238095,0.6926882464772317,0.6845238095238095,0.6829223598990803,0.5635103926096998,0.5835633116324139,0.5635103926096998,0.5625347721956547,"r, g, b, H, S, V",Gabungan Fitur,6
RGB_rgb_G/Bratio,AdaBoost DT,0.6726190476190477,0.6757285598305016,0.6726190476190477,0.6701903062865023,0.558891454965358,0.5629929548945667,0.558891454965358,0.5553775263716825,"R, G, B, r, g, b, G/Bratio",Gabungan Fitur,7
