Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features
RGB_HSV_G/Bratio,Bagging SVM,0.6220226876838287,0.6595765674846976,0.6220226876838287,0.6320712558443804,0.5877921455938697,0.6295104604867429,0.5877921455938697,0.5978068738233169,"R, G, B, G/Bratio, H, S, V"
rgb_HSV_G/Bratio,Bagging SVM,0.6220226876838287,0.6595765674846976,0.6220226876838287,0.6320712558443804,0.5877921455938697,0.6295104604867429,0.5877921455938697,0.5978068738233169,"r, g, b, G/Bratio, H, S, V"
RGB_HSV_CLab_G/Bratio,Bagging SVM,0.6252612272385467,0.661498551560723,0.6252612272385467,0.6352390035277196,0.5870881226053639,0.6303797423601043,0.5870881226053639,0.5974597632039085,"R, G, B, G/Bratio, H, S, V, cL, ca, cb"
rgb_HSV_CLab_G/Bratio,Bagging SVM,0.6252612272385467,0.661498551560723,0.6252612272385467,0.6352390035277196,0.5870881226053639,0.6303797423601043,0.5870881226053639,0.5974597632039085,"r, g, b, G/Bratio, H, S, V, cL, ca, cb"
RGB_HSV,Bagging SVM,0.6188618440465652,0.654192040035068,0.6188618440465652,0.6264946414736986,0.5801340996168582,0.6183485441245796,0.5801340996168582,0.5877952322413293,"R, G, B, H, S, V"
rgb_HSV,Bagging SVM,0.6188618440465652,0.654192040035068,0.6188618440465652,0.6264946414736986,0.5801340996168582,0.6183485441245796,0.5801340996168582,0.5877952322413293,"r, g, b, H, S, V"
HSV_CLab_G/Bratio,Bagging SVM,0.6096838501956082,0.6466524317777033,0.6096838501956082,0.6208788733909334,0.57808908045977,0.6198978742644705,0.57808908045977,0.5893850736186899,"G/Bratio, H, S, V, cL, ca, cb"
HSV_CLab,Bagging SVM,0.6090678155667876,0.646264946039768,0.6090678155667876,0.6197129500050298,0.5746216475095786,0.6158457078211832,0.5746216475095786,0.5852101265574479,"H, S, V, cL, ca, cb"
CLab_R/Gratio,Bagging SVM,0.6133076567958347,0.641834763828598,0.6133076567958347,0.6202896059625231,0.5746120689655173,0.6118468489797373,0.5746120689655173,0.5830906840824178,"R/Gratio, cL, ca, cb"
HSV_CLab_R/Gratio_G/Bratio,Bagging SVM,0.6093763385590679,0.6427547064594531,0.6093763385590679,0.6189941665090808,0.5732183908045977,0.6100539717891668,0.5732183908045977,0.5824696329821384,"R/Gratio, G/Bratio, H, S, V, cL, ca, cb"
